policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,142,315,4.55,0.0,optimal,0,0,4.864360699999963,4.765625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,133,300,4.17,0.0,optimal,0,0,4.5011678999999845,4.390625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,183,384,4.56,0.0,optimal,0,0,4.839976799999988,4.796875
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,69,2.2,0.0,optimal,0,0,2.2558604000000173,2.25
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,11,69,2.3,0.0,optimal,0,0,2.342834699999969,2.34375
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,78,2.26,0.0,optimal,0,0,2.3582089000000224,2.359375
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,66,2.2,0.0,optimal,0,0,2.2748823000000016,2.265625
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,71,2.07,0.0,optimal,0,0,2.1804204000000027,2.1875
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,68,2.16,0.0,optimal,0,0,2.2361007000000086,2.203125
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,13,76,2.25,0.0,optimal,0,0,2.357703200000003,2.34375
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,80,2.27,0.0,optimal,0,0,2.3391153999999688,2.328125
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,11,68,2.19,0.0,optimal,0,0,2.2813662000000363,2.265625
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,70,2.14,0.0,optimal,0,0,2.190756600000043,2.203125
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,69,2.22,0.0,optimal,0,0,2.257880499999999,2.25
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,11,73,2.22,0.0,optimal,0,0,2.3132448000000068,2.3125
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,78,2.27,0.0,optimal,0,0,2.3398224999999684,2.34375
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,11,68,2.25,0.0,optimal,0,0,2.3055545999999936,2.296875
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,71,2.14,0.0,optimal,0,0,2.1884661999999935,2.203125
gcnn:baseline,depthK_adaptive,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,68,2.12,0.0,optimal,0,0,2.22534909999996,2.234375
gcnn:baseline,depthK_adaptive,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,13,71,2.33,0.0,optimal,0,0,2.3595993000000135,2.34375
gcnn:baseline,depthK_adaptive,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,78,2.32,0.0,optimal,0,0,2.339097900000013,2.34375
gcnn:baseline,depthK_adaptive,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,11,68,2.25,0.0,optimal,0,0,2.2948534000000222,2.28125
gcnn:baseline,depthK_adaptive,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,68,2.17,0.0,optimal,0,0,2.194843999999989,2.1875
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,68,2.17,0.0,optimal,0,0,2.2538902000000007,2.25
