policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,16579,19361,241.0,0.0,optimal,0,0,255.59712820000004,251.984375
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,12297,14552,192.95,0.0,optimal,0,0,204.92170859999987,202.40625
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,11203,12941,316.47,0.0,optimal,0,0,527.8863024000002,525.6875
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,13857,15893,398.73,0.0,optimal,0,0,676.2188143000003,674.0625
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,913,1342,29.84,0.0,optimal,0,0,48.813945500000045,48.703125
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,971,1446,30.94,0.0,optimal,0,0,51.5672912,51.46875
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,717,1095,26.33,0.0,optimal,0,0,39.433793799999876,39.3125
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,723,1095,26.11,0.0,optimal,0,0,40.900374899999406,40.765625
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,807,1243,27.34,0.0,optimal,0,0,43.29103750000013,43.296875
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,2141,3058,63.23,0.0,optimal,0,0,96.42168479999964,95.84375
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,2975,3854,93.75,0.0,optimal,0,0,154.8061977999996,154.296875
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,2173,3042,64.58,0.0,optimal,0,0,97.61833219999971,97.109375
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,1915,2645,64.76,0.0,optimal,0,0,102.80205850000038,102.4375
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,2741,3469,88.22,0.0,optimal,0,0,146.9856766999992,146.40625
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,54108,60374,1092.23,0.0,optimal,0,0,1606.5164939000006,1595.09375
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,56892,64755,781.45,0.0,optimal,0,0,828.598774,815.140625
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,49830,55720,677.49,0.0,optimal,0,0,722.9330602999999,707.21875
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,42096,47503,573.18,0.0,optimal,0,0,608.8745079999999,598.265625
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,59838,67858,834.17,0.0,optimal,0,0,881.3909817999993,869.578125
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,21751,25367,323.07,0.0,optimal,0,0,340.41101340000023,335.953125
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,45441,51779,681.06,0.0,optimal,0,0,716.1980494,707.953125
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,24576,28595,366.4,0.0,optimal,0,0,387.244074799999,382.734375
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,21011,25325,314.86,0.0,optimal,0,0,330.94552359999943,327.171875
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,32293,36846,479.75,0.0,optimal,0,0,506.2802148999999,499.5
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,1329,2042,28.79,0.0,optimal,0,0,30.14928770000006,29.75
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,1283,1894,26.11,0.0,optimal,0,0,27.363919299999907,27.078125
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,1275,1951,25.94,0.0,optimal,0,0,27.29423279999901,26.96875
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,1289,1984,26.31,0.0,optimal,0,0,27.55133510000087,27.25
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,1377,2106,28.16,0.0,optimal,0,0,29.44932180000069,29.21875
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_10.lp,18779,21202,273.53,0.0,optimal,0,0,289.16425510000045,284.984375
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_10.lp,22537,25786,338.95,0.0,optimal,0,0,357.5353692000008,352.796875
gcnn:baseline,depthK_adaptive2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_10.lp,19087,22050,282.03,0.0,optimal,0,0,297.3149575000007,293.328125
gcnn:baseline,depthK_adaptive2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_10.lp,18903,21570,278.18,0.0,optimal,0,0,293.1175306999994,289.59375
gcnn:baseline,depthK_adaptive2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_10.lp,23086,25827,340.37,0.0,optimal,0,0,359.06004219999886,354.203125
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_11.lp,2571,3459,41.58,0.0,optimal,0,0,43.666936700001315,43.28125
gcnn:baseline,depthK_adaptive2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_11.lp,2377,3109,37.89,0.0,optimal,0,0,40.57007540000086,39.8125
